ID,Guest Name,Phone Number,Room_id,Date Arrived
B567,Broni Williams,0244889900,02,21-05-2023
C217,Nkay Boame,0243678904,03,21-05-2023
Y678,Vince Churchill,0267890342,04,21-05-2023
A676,Miriam Quansah,0278098231,05,21-05-2023
B458,Kofi Arthur,0591549087,07,23-07-2023
B459,Boakye Kofi,0243568749,02,23-07-2023
DS234,Seshie Dorcas,0532109810,65,23-07-2023
HC123,Evans Hamsa,0563456098,05,23-07-2023
SY123,Yawlui Sharon,0244745232,01,23-07-2023
UJ234,Uncle Joe,0523451903,19,23-07-2023
MO567,Ofori Michael,0592344000,24,23-07-2023
SG123,Gawu Sidney,0274123098,27,24-07-2023
BS459,Bukayo Saka,0591826522,24,23-34-2023
IH777,Iddriss Hamidu,0591839370,56,31-10-2023
AH213,Alexa Harrison,0573124586,100,31-10-2023
AD300,Andrews Damptey,0278094214,102,31-10-2023
LJ236,Lebron James,0262339022,500,31-10-2023
SC301,Stephen Curry,0338904214,900,31-10-2023
KD117,Kevin Durant,0563098234,11,31-10-2023
KZ034,Kyle Kuzma,0594329902,800,31-10-2023
SM333,Samuel Koomson,0591829323,43,31-10-2023
ET777,Ekow Turkson,0591845678,544,3-11-2023
TM16,Tyrese Maxey,0575754927,16,7-11-2023
MB17,Mo Bamba,0271222215,17,7-11-2023
JB18,Joel Embiid,0236086375,18,6-11-2023
TB25,Tobias Harris,0575754927,25,6-11-2023
NB45,Nicolas Batum,0548650703,45,5-11-2023
NN16,Nick Nurse,05095611739,16,1-10-2023
TB15,Thomas Bryant,0249559417,15,24-07-2023
JB22,Jimmy Butler,0504831520,22,24-09-2023
TH20,Tyler Herro,0573610040,20,27-04-2023
CB16,Caleb Martin,0249206295,16,27-04-2023
JH11,James Harden,0236802323,11,5-11-2023
JP11,Joshua Primo,0544841279,11,5-11-2023
PG07,Paul George,0578854480,07,30-03-2023
AL23,Alex Len,0244936667,23,28-08-2023
JF100,Jordan Ford,0596071371,100,17-05-2023
JG800,Jalen Green,0269896011,800,31-12-2022
JG19,Jeff Green,0543964731,19,31-01-2023
SA03,Steven Adams,0205688172,03,25-02-2023
JM20,Ja Morant,0562138580,20,24-07-2023
DR101,Derrick Rose,0206311041,101,22-04-2023
